web-scraper-order,web-scraper-start-url,img-src,name,core count,perfomance core clock,perfomance boost clock,tpc,integrated graphics,price,link,link-href,rating,socket1,socket2
1672944922-486,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/41OmFJWZ6zL.jpg,AMD FX-8350,8,4,null,125,Integrated GraphicsNone,null,AMD FX-8350         (439),https://es.pcpartpicker.com/product/ykphP6/amd-cpu-fd8350frhkbox,"(439 Ratings, 4.8 Average)","Integrated Graphics


None","Socket


AM3+"
1672944924-487,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/02dbd0bb7cefb31a308b7f7ce6bf392e.256p.jpg,Intel Core i5-7600K,4,3.8,4.2,91,Integrated GraphicsIntel HD Graphics 630,null,Intel Core i5-7600K         (136),https://es.pcpartpicker.com/product/dQM323/intel-core-i5-7600k-38ghz-quad-core-processor-bx80677i57600k,"(136 Ratings, 4.8 Average)","Socket


LGA1151","Core Family


Kaby Lake-S"
1672944926-488,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/078cc8a672758e9b2e5314d9ab1f9244.256p.jpg,Intel Core i7-9700,8,3,4.7,65,Integrated GraphicsIntel HD Graphics 630,null,Intel Core i7-9700         (1),https://es.pcpartpicker.com/product/L6vbt6/intel-core-i7-9700-3-ghz-8-core-processor-bx80684i79700,"(1 Rating, 5.0 Average)","Socket


LGA1151","Core Family


Coffee Lake Refresh"
1672944929-489,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,Intel Core i5-7400,4,3,3.5,65,Integrated GraphicsIntel HD Graphics 630,null,Intel Core i5-7400         (15),https://es.pcpartpicker.com/product/qnM323/intel-core-i5-7400-30ghz-quad-core-processor-bx80677i57400,"(15 Ratings, 4.3 Average)","Socket


LGA1151","Core Family


Kaby Lake-S"
1672944931-490,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/51XkkFx-XGL.jpg,Intel Core i7-3770,4,3.4,null,77,Integrated GraphicsIntel HD Graphics 4000,null,Intel Core i7-3770         (46),https://es.pcpartpicker.com/product/Vjzv6h/intel-cpu-bx80637i73770,"(46 Ratings, 4.8 Average)","Integrated Graphics


Intel HD Graphics 4000","Socket


LGA1155"
1672944933-491,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/f927492257891d8bb2daf4b33d4a764f.256p.jpg,Intel Core i7-7700,4,3.6,4.2,65,Integrated GraphicsIntel HD Graphics 630,null,Intel Core i7-7700         (34),https://es.pcpartpicker.com/product/9mRFf7/intel-core-i7-7700-36ghz-quad-core-processor-bx80677i77700,"(34 Ratings, 4.8 Average)","Socket


LGA1151","Core Family


Kaby Lake-S"
1672944935-492,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/51Wn4iltlSL.jpg,Intel Celeron E1400,2,2,null,65,Integrated GraphicsNone,null,Intel Celeron E1400         (0),https://es.pcpartpicker.com/product/VNV48d/intel-cpu-bx80557e1400,null,"Integrated Graphics


None","Socket


LGA775"
1672944938-493,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/71be15e31e700684bc9c8fb697bd4f11.256p.jpg,AMD Ryzen 5 1600 (14nm),6,3.2,3.6,65,Integrated GraphicsNone,null,AMD Ryzen 5 1600 (14nm)         (364),https://es.pcpartpicker.com/product/mV98TW/amd-ryzen-5-1600-32ghz-6-core-processor-yd1600bbaebox,"(364 Ratings, 4.9 Average)","Socket


AM4","Core Family


Summit Ridge"
1672944940-494,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/76f85d74fb4d0e2cc31f940bee5905c4.256p.jpg,Intel Core i9-9900K,8,3.6,5,95,Integrated GraphicsIntel UHD Graphics 630,null,Intel Core i9-9900K         (207),https://es.pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k,"(207 Ratings, 4.9 Average)","Socket


LGA1151","Core Family


Coffee Lake Refresh"
1672944942-495,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/41mTME4EDlL.jpg,AMD Sempron 140,1,2.7,null,45,Integrated GraphicsNone,6.48,AMD Sempron 140         (0),https://es.pcpartpicker.com/product/GjxfrH/amd-cpu-sdx140hbgqbox,null,"Integrated Graphics


None","Socket


AM3"
1672944944-496,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/fc7a52f5d0d6ed78e9108673e98ad223.256p.jpg,Intel Celeron G6900,2,3.4,null,46,Integrated GraphicsIntel UHD Graphics 710,56.5,Intel Celeron G6900         (0),https://es.pcpartpicker.com/product/QKbTwP/intel-celeron-g6900-34-ghz-dual-core-processor-bx80715g6900,null,"Integrated Graphics


Intel UHD Graphics 710","Socket


LGA1700"
1672944947-497,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/6423051221542ab9daa999922c7ca709.256p.jpg,Intel Core i5-2400S,4,2.5,null,65,Integrated GraphicsIntel HD Graphics 2000,60.99,Intel Core i5-2400S         (0),https://es.pcpartpicker.com/product/B3phP6/intel-cpu-bx80623i52400s,null,"Integrated Graphics


Intel HD Graphics 2000","Socket


LGA1155"
1672944949-498,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/ab31eff2865edb93498c3ab8707d4c71.256p.jpg,Intel Pentium Gold G6400,2,4,null,58,Integrated GraphicsIntel UHD Graphics 610,63.81,Intel Pentium Gold G6400         (2),https://es.pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400,"(2 Ratings, 5.0 Average)","Integrated Graphics


Intel UHD Graphics 610","Socket


LGA1200"
1672944951-499,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/6be6a2a6df1721fef27435a91c501521.256p.jpg,Intel Celeron G5900,2,3.4,null,58,Integrated GraphicsIntel UHD Graphics 610,66.98,Intel Celeron G5900         (3),https://es.pcpartpicker.com/product/37gQzy/intel-celeron-g5900-34-ghz-dual-core-processor-bx80701g5900,"(3 Ratings, 5.0 Average)","Integrated Graphics


Intel UHD Graphics 610","Socket


LGA1200"
1672944953-500,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/237702d691e3004dfd1b5c6c752db1af.256p.jpg,Intel Pentium Gold G6405,2,4.1,null,58,Integrated GraphicsIntel UHD Graphics 610,71,Intel Pentium Gold G6405         (0),https://es.pcpartpicker.com/product/gCzhP6/intel-pentium-gold-g6405-41-ghz-dual-core-processor-bx80701g6405,null,"Integrated Graphics


Intel UHD Graphics 610","Socket


LGA1200"
1672944956-501,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg,Intel Core i3-10100F,4,3.6,4.3,65,Integrated GraphicsNone,71.4,Intel Core i3-10100F         (19),https://es.pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f,"(19 Ratings, 4.8 Average)","Socket


LGA1200","Core Family


Comet Lake"
1672944958-502,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/c314096631c5cce658b1bf1cb252bf4c.256p.jpg,Intel Celeron G5925,2,3.6,null,58,Integrated GraphicsIntel UHD Graphics 610,72,Intel Celeron G5925         (0),https://es.pcpartpicker.com/product/FpXYcf/intel-celeron-g5925-36-ghz-dual-core-processor-bx80701g5925,null,"Integrated Graphics


Intel UHD Graphics 610","Socket


LGA1200"
1672944960-503,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/104690dc90e6297964380eeb9204f524.256p.jpg,Intel Core i3-10105F,4,3.7,4.4,65,Integrated GraphicsNone,76.97,Intel Core i3-10105F         (3),https://es.pcpartpicker.com/product/hYgFf7/intel-core-i3-10105f-37-ghz-quad-core-processor-bx8070110105f,"(3 Ratings, 5.0 Average)","Socket


LGA1200","Core Family


Comet Lake"
1672944963-504,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/41T-2ioP-ML.jpg,Intel Core 2 Quad Q6600,4,2.4,null,100,Integrated GraphicsNone,77.94,Intel Core 2 Quad Q6600         (6),https://es.pcpartpicker.com/product/2vGkcf/intel-cpu-hh80562ph0568m,"(6 Ratings, 4.2 Average)","Integrated Graphics


None","Socket


LGA775"
1672944965-505,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/43c4d752d1441ed420dd80502e718918.256p.jpg,AMD Ryzen 3 4100,4,3.8,4,65,Integrated GraphicsNone,79.98,AMD Ryzen 3 4100         (0),https://es.pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box,null,"Socket


AM4","Core Family


Renoir-X"
1672944967-506,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,AMD Ryzen 5 4500,6,3.6,4.1,65,Integrated GraphicsNone,84.48,AMD Ryzen 5 4500         (1),https://es.pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,"(1 Rating, 5.0 Average)","Socket


AM4","Core Family


Renoir-X"
1672944969-507,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/67d6c57eae5170d56282ab69bf97d70b.256p.jpg,Intel Celeron G4900T,2,1.8,null,35,Integrated GraphicsIntel UHD Graphics 610,88.38,Intel Celeron G4900T         (0),https://es.pcpartpicker.com/product/WWBTwP/intel-celeron-g4900t-18ghz-dual-core-oemtray-processor-cm8068403379312,null,"Integrated Graphics


Intel UHD Graphics 610","Socket


LGA1151"
1672944972-508,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,AMD Ryzen 3 3200G,4,3.6,4,65,Integrated GraphicsRadeon Vega 8,90.98,AMD Ryzen 3 3200G         (64),https://es.pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,"(64 Ratings, 4.8 Average)","Socket


AM4","Core Family


Picasso"
1672944974-509,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/31Y3ryGpQbL.jpg,Intel Core 2 Duo E8400,2,3,null,65,Integrated GraphicsNone,91.09,Intel Core 2 Duo E8400         (4),https://es.pcpartpicker.com/product/Kwbp99/intel-cpu-eu80570pj0806m,"(4 Ratings, 4.5 Average)","Integrated Graphics


None","Socket


LGA775"
1672944976-510,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/f55fe8a2443698085e9d8d2997cc3173.256p.jpg,AMD Athlon 200GE,2,3.2,null,35,Integrated GraphicsRadeon Vega 3,94.8,AMD Athlon 200GE         (16),https://es.pcpartpicker.com/product/dFhKHx/amd-athlon-200ge-32ghz-dual-core-processor-yd200gc6fbbox,"(16 Ratings, 4.8 Average)","Integrated Graphics


Radeon Vega 3","Socket


AM4"
1672944978-511,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/51yXoOSQezL.jpg,Intel Core i3-3250,2,3.5,null,55,Integrated GraphicsIntel HD Graphics 2500,97.84,Intel Core i3-3250         (1),https://es.pcpartpicker.com/product/TB2kcf/intel-cpu-bx80637i33250,"(1 Rating, 5.0 Average)","Integrated Graphics


Intel HD Graphics 2500","Socket


LGA1155"
1672944981-512,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/eb5b7bb7afe60da16bd99b1aeabfab09.256p.jpg,AMD FX-9370,8,4.4,4.7,220,Integrated GraphicsNone,99.97,AMD FX-9370         (9),https://es.pcpartpicker.com/product/tgkD4D/amd-cpu-fd9370fhhkwof,"(9 Ratings, 4.4 Average)","Socket


AM3+","Core Family


Vishera"
1672944983-513,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/51m7y-3sPWL.jpg,AMD Athlon II X2 240,2,2.8,null,65,Integrated GraphicsNone,101,AMD Athlon II X2 240         (0),https://es.pcpartpicker.com/product/vZTmP6/amd-cpu-adx240ock23gq,null,"Integrated Graphics


None","Socket


AM3"
1672944985-514,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/51DHf03fhlL.jpg,Intel Core 2 Duo E8600,2,3.33,null,65,Integrated GraphicsNone,101.78,Intel Core 2 Duo E8600         (0),https://es.pcpartpicker.com/product/7QQypg/intel-cpu-bx80570e8600,null,"Integrated Graphics


None","Socket


LGA775"
1672944987-515,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/51pVI%2BcdnNL.jpg,Intel Core 2 Duo E8500,2,3.16,null,65,Integrated GraphicsNone,101.78,Intel Core 2 Duo E8500         (1),https://es.pcpartpicker.com/product/FvGkcf/intel-cpu-bx80570e8500,"(1 Rating, 5.0 Average)","Integrated Graphics


None","Socket


LGA775"
1672944990-516,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/0aac966c03db64bc2c7a4d60f8dd1264.256p.jpg,Intel Pentium Gold G7400,2,3.7,null,46,Integrated GraphicsIntel UHD Graphics 710,103,Intel Pentium Gold G7400         (0),https://es.pcpartpicker.com/product/KsBG3C/intel-pentium-gold-g7400-37-ghz-dual-core-processor-bx80715g7400,null,"Integrated Graphics


Intel UHD Graphics 710","Socket


LGA1700"
1672944992-517,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,Intel Core i5-10400F,6,2.9,4.3,65,Integrated GraphicsNone,108,Intel Core i5-10400F         (50),https://es.pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,"(50 Ratings, 4.8 Average)","Socket


LGA1200","Core Family


Comet Lake"
1672944994-518,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/c96e3edad99c0ec51123f5b9c2d4a811.256p.jpg,Intel Pentium G4400,2,3.3,null,54,Integrated GraphicsIntel HD Graphics 510,109,Intel Pentium G4400         (32),https://es.pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400,"(32 Ratings, 4.4 Average)","Integrated Graphics


Intel HD Graphics 510","Socket


LGA1151"
1672944997-519,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/4cf62d8a026ed7e57bd7e62c4dcc1de9.256p.jpg,Intel Pentium Gold G6500,2,4.1,null,58,Integrated GraphicsIntel UHD Graphics 630,109.26,Intel Pentium Gold G6500         (0),https://es.pcpartpicker.com/product/Qkyqqs/intel-pentium-gold-g6500-41-ghz-dual-core-processor-bx80701g6500,null,"Integrated Graphics


Intel UHD Graphics 630","Socket


LGA1200"
1672944999-520,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,Intel Core i3-12100F,4,3.3,4.3,58,Integrated GraphicsNone,109.3,Intel Core i3-12100F         (15),https://es.pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,"(15 Ratings, 4.9 Average)","Socket


LGA1700","Core Family


Alder Lake"
1672945001-521,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,/static/forever/img/no-image.png,Intel Core 2 Quad Q9400,4,2.66,null,95,Integrated GraphicsNone,109.92,Intel Core 2 Quad Q9400         (0),https://es.pcpartpicker.com/product/wLNp99/intel-cpu-at80580pj0676m,null,"Integrated Graphics


None","Socket


LGA775"
1672945003-522,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,Intel Core i3-10100,4,3.6,4.3,65,Integrated GraphicsIntel UHD Graphics 630,110.65,Intel Core i3-10100         (38),https://es.pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100,"(38 Ratings, 4.8 Average)","Socket


LGA1200","Core Family


Comet Lake"
1672945006-523,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/512GDUjEwAL.jpg,Intel Xeon E5-2620,6,2,null,95,Integrated GraphicsNone,112.99,Intel Xeon E5-2620         (0),https://es.pcpartpicker.com/product/2Q8Zxr/intel-cpu-cm8063501288301,null,"Integrated Graphics


None","Socket


LGA2011"
1672945008-524,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/237702d691e3004dfd1b5c6c752db1af.256p.jpg,Intel Pentium Gold G6605,2,4.3,null,58,Integrated GraphicsIntel UHD Graphics 630,113.53,Intel Pentium Gold G6605         (0),https://es.pcpartpicker.com/product/tNPQzy/intel-pentium-gold-g6605-43-ghz-dual-core-processor-bx80701g6605,null,"Integrated Graphics


Intel UHD Graphics 630","Socket


LGA1200"
1672945010-525,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/29ffd579cd750d1f43cba3ba1c578d8c.256p.jpg,AMD Ryzen 5 4600G,6,3.7,4.2,65,Integrated GraphicsRadeon Vega 7,114.89,AMD Ryzen 5 4600G         (2),https://es.pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,"(2 Ratings, 5.0 Average)","Socket


AM4","Core Family


Renoir"
1672945012-526,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://m.media-amazon.com/images/I/515PHOORs-L.jpg,AMD Athlon II X2 220,2,2.8,null,65,Integrated GraphicsNone,115,AMD Athlon II X2 220         (1),https://es.pcpartpicker.com/product/CRtCmG/amd-cpu-adx220ock22gm,"(1 Rating, 3.0 Average)","Integrated Graphics


None","Socket


AM3"
1672945015-527,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/f4e07d2c312edb86a1afe494ed5cd645.256p.jpg,Intel Core i3-10105,4,3.7,4.4,65,Integrated GraphicsIntel UHD Graphics 630,119,Intel Core i3-10105         (3),https://es.pcpartpicker.com/product/Xht9TW/intel-core-i3-10105-37-ghz-quad-core-processor-bx8070110105,"(3 Ratings, 4.7 Average)","Socket


LGA1200","Core Family


Comet Lake"
1672945017-528,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,AMD Ryzen 5 5500,6,3.6,4.2,65,Integrated GraphicsNone,120.11,AMD Ryzen 5 5500         (8),https://es.pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,"(8 Ratings, 4.8 Average)","Socket


AM4","Core Family


Cezanne"
1672945019-529,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,https://images-na.ssl-images-amazon.com/images/I/417py4oLqfL.jpg,Intel Xeon E5-2670,8,2.6,3.3,115,Integrated GraphicsNone,125.99,Intel Xeon E5-2670         (6),https://es.pcpartpicker.com/product/rBkD4D/intel-cpu-bx80621e52670,"(6 Ratings, 4.8 Average)","Socket


LGA2011","Core Family


Sandy Bridge-EP"
1672945022-530,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/1c98c8fccc44a3696129e74df5243312.256p.jpg,AMD Ryzen 5 3600,6,3.6,4.2,65,Integrated GraphicsNone,127.85,AMD Ryzen 5 3600         (1),https://es.pcpartpicker.com/product/Rnm323/amd-ryzen-5-3600-36-thz-6-core-oemtray-processor-100-000000031,"(1 Rating, 5.0 Average)","Socket


AM4","Core Family


Matisse"
1672945024-531,https://es.pcpartpicker.com/products/cpu/#sort=-price&page=4,//cdna.pcpartpicker.com/static/forever/images/product/7fc9bd473f09de3bff4a5a44e832f399.256p.jpg,Intel Core i3-12100,4,3.3,4.3,60,Integrated GraphicsIntel UHD Graphics 730,128.38,Intel Core i3-12100         (4),https://es.pcpartpicker.com/product/qrhFf7/intel-core-i3-12100-33-ghz-quad-core-processor-bx8071512100,"(4 Ratings, 4.8 Average)","Socket


LGA1700","Core Family


Alder Lake"
